,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,1w_chg_pct,1m_chg_pct,1y_chg_pct,max_drawdown,ticker,fax,address2,headSymbol,underlyingExchangeSymbol,underlyingSymbol,uuid,ratecode,ratecode2,USD-USD,CNY-USD,TWD-USD,HKD-USD,EUR-USD,rate,rate2
0,95014,Technology,154000.0,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. In addition, the company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; AirPods Max, an over-ear wireless headphone; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, and iPod touch. Further, it provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. Additionally, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",Cupertino,408 996 1010,CA,United States,[],https://www.apple.com,1.0,One Apple Park Way,Consumer Electronics,0.3343,0.25709,0.43313998,118224003072.0,0.019,0.30533,129556996096.0,130.0,buy,152836000000.0,83344621568.0,185.0,140.09,-0.077,0.865,0.22204,41.0,183.5,205.984,1.62816,220.0,48230998016.0,119691001856.0,387541991424.0,3.001,USD,23.732,0.697,1.9,NMS,Apple Inc.,Apple Inc.,America/New_York,EDT,0.0,-14400000,EQUITY,AAPL,finmb_24937,us_market,,5.994,,17.929,-0.019046307,,6.46,,16070800384.0,,,,3.61,116076947.0,0.0072000003,,1632528000.0,0.59582,99632996352.0,6.05,0.23,-0.16544336,38.806095,0.00071000005,1695600000.0,,1656115200.0,1.53,1660521600.0,16053877710.0,1.249815,2322811584512.0,2.0,,1598832000.0,4:1,,1659657600.0,,-0.106,5.8093276,1663200000.0,2.51,,21.685759,,0.0072000003,115400891.0,0.0,,,145.43,142.54,159.1368,0.006119783,0.1471,,143.1,,101319120.0,145.43,158.688,0.89,142.54,,101319120.0,,,0.92,1659657600.0,,,139.445,USD,23.15537,85925559.0,,,,2251358470144.0,,,80128214.0,139.445,139.95,2200.0,85925559.0,182.94,,1.02,129.04,139.9,0.0,0.0066000004,1200.0,143.1,,140.09,,https://logo.clearbit.com/apple.com,1.367582801290701,-10.175692288275261,-1.685387904147695,-22.71319676236736,AAPL ,,,,,,,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
1,98052-6399,Technology,221000.0,"Microsoft Corporation develops, licenses, and supports software, services, devices, and solutions worldwide. The company operates in three segments: Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. The Productivity and Business Processes segment offers Office, Exchange, SharePoint, Microsoft Teams, Office 365 Security and Compliance, Microsoft Viva, and Skype for Business; Skype, Outlook.com, OneDrive, and LinkedIn; and Dynamics 365, a set of cloud-based and on-premises business solutions for organizations and enterprise divisions. The Intelligent Cloud segment licenses SQL, Windows Servers, Visual Studio, System Center, and related Client Access Licenses; GitHub that provides a collaboration platform and code hosting service for developers; Nuance provides healthcare and enterprise AI solutions; and Azure, a cloud platform. It also offers enterprise support, Microsoft consulting, and nuance professional services to assist customers in developing, deploying, and managing Microsoft server and desktop solutions; and training and certification on Microsoft products. The More Personal Computing segment provides Windows original equipment manufacturer (OEM) licensing and other non-volume licensing of the Windows operating system; Windows Commercial, such as volume licensing of the Windows operating system, Windows cloud services, and other Windows commercial offerings; patent licensing; and Windows Internet of Things. It also offers Surface, PC accessories, PCs, tablets, gaming and entertainment consoles, and other devices; Gaming, including Xbox hardware, and Xbox content and services; video games and third-party video game royalties; and Search, including Bing and Microsoft advertising. The company sells its products through OEMs, distributors, and resellers; and directly through digital marketplaces, online stores, and retail stores. Microsoft Corporation was founded in 1975 and is headquartered in Redmond, Washington.",Redmond,425 882 8080,WA,United States,[],https://www.microsoft.com,1.0,One Microsoft Way,Software—Infrastructure,0.49418998,0.36686,0.68402,89034997760.0,0.124,0.42055,97982996480.0,275.0,buy,135620000000.0,49479000064.0,330.0,234.24,0.031,1.785,0.14919,44.0,331.47,47.075,0.47151002,411.0,104748998656.0,78399995904.0,198269992960.0,14.045,USD,26.45,1.567,1.7,NMS,Microsoft Corporation,Microsoft Corporation,America/New_York,EDT,False,-14400000,EQUITY,MSFT,finmb_21835,us_market,,8.678,,17.56,-0.20388812,,11.9,,7457889792.0,,,,22.313,42967330.0,0.0058,,1656547200.0,0.71765,72737996800.0,9.65,0.62,-0.16544336,10.497916,0.00079,1719705600.0,,1656547200.0,1.95,1660521600.0,7451179769.0,0.960206,1720587649024.0,2.0,,1045526400.0,2:1,,1660694400.0,,0.017,8.810895,1663200000.0,1.63,,19.684034,,0.0058,38084466.0,0.0,,,246.79,240.902,279.84064,0.01004903,0.2508,,241.32,,28898610.0,246.79,263.1096,2.48,240.902,,28898610.0,,,2.72,1668556800.0,,,233.17,USD,24.273577,37769602.0,,,,1746936135680.0,,,25304834.0,233.17,233.9,800.0,37769602.0,349.67,,1.2,232.73,233.88,False,0.0116,800.0,241.32,,234.24,,https://logo.clearbit.com/microsoft.com,0.5753592236139138,-9.240959038761897,-19.89085831828943,-31.28429540180091,MSFT ,425 706 7329,,,,,,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
2,98109-5210,Consumer Cyclical,1523000.0,"Amazon.com, Inc. engages in the retail sale of consumer products and subscriptions in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). It sells merchandise and content purchased for resale from third-party sellers through physical and online stores. The company also manufactures and sells electronic devices, including Kindle, Fire tablets, Fire TVs, Rings, and Echo and other devices; provides Kindle Direct Publishing, an online service that allows independent authors and publishers to make their books available in the Kindle Store; and develops and produces media content. In addition, it offers programs that enable sellers to sell their products on its websites, as well as its stores; and programs that allow authors, musicians, filmmakers, Twitch streamers, skill and app developers, and others to publish and sell content. Further, the company provides compute, storage, database, analytics, machine learning, and other services, as well as fulfillment, advertising, publishing, and digital content subscriptions. Additionally, it offers Amazon Prime, a membership program, which provides free shipping of various items; access to streaming of movies and series; and other services. The company serves consumers, sellers, developers, enterprises, and content creators. Amazon.com, Inc. was incorporated in 1994 and is headquartered in Seattle, Washington.",Seattle,206 266 1000,WA,United States,[],https://www.amazon.com,1.0,410 Terry Avenue North,Internet Retail,0.10829,0.02389,0.42645,35574001664.0,0.072,0.03148,52620001280.0,100.0,buy,197478000000.0,-13441125376.0,172.0,114.56,,0.953,0.02451,47.0,170.32,119.907,0.094289996,232.75,60709998592.0,157559996416.0,485901991936.0,5.959,USD,47.816,0.679,1.8,NMS,"Amazon.com, Inc.","Amazon.com, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AMZN,finmb_18749,us_market,,2.601,,24.02,-0.29421186,,2.29,,10187599872.0,,,,12.904,77853906.0,0.0076,,1640908800.0,0.59609,11607000064.0,1.06,,-0.16544336,8.877867,0.09859,1703980800.0,,1656547200.0,1.6,1660521600.0,9173281860.0,1.322033,1263936339968.0,2.0,,1654473600.0,20:1,,,,,2.401907,1663200000.0,36.18,,50.0262,,0.0088,78386488.0,0.0,,,120.3,118.0,136.0366,0.0,0.0,,118.16,,55581350.0,120.3,129.5266,0.0,118.0,,55581350.0,,,,,,,113.89,USD,108.07548,54677980.0,,,,1167091433472.0,,,57144745.0,113.89,114.55,1100.0,54677980.0,188.1075,,,101.26,114.4,False,,1300.0,118.16,,114.56,,https://logo.clearbit.com/amazon.com,1.3805288129148163,-11.523014103538454,-30.620789189719666,-38.00966357805046,AMZN ,,,,,,,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
3,78725,Consumer Cyclical,99290.0,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits. It provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; and purchase financing and leasing services. This segment is also involved in the provision of non-warranty after-sales vehicle services, sale of used vehicles, retail merchandise, and vehicle insurance, as well as sale of products to third party customers; services for electric vehicles through its company-owned service locations, and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners. This segment also offers service and repairs to its energy product customers, including under warranty; and various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas.",Austin,(512) 516-8177,TX,United States,[],https://www.tesla.com,1.0,13101 Tesla Road,Auto Manufacturers,0.20889,0.14168,0.27099,14078000128.0,0.416,0.16139,14030000128.0,24.33,buy,13606000000.0,5962749952.0,329.17,223.07,0.907,1.431,0.10957,38.0,298.99,17.699,0.2989,461.0,18915000320.0,6664999936.0,67165999104.0,6.036,USD,21.928,0.968,2.3,NMS,"Tesla, Inc.","Tesla, Inc.",America/New_York,EDT,False,-14400000,EQUITY,TSLA,finmb_27444752,us_market,,10.244,,49.039,-0.15497386,,5.9,,3133469952.0,,,,11.648,63690357.0,0.020299999,,1640908800.0,0.44224998,9521000448.0,2.59,,-0.16544336,19.150928,0.16434,1703980800.0,,1656547200.0,1.08,1660521600.0,2619392949.0,2.127855,688015147008.0,2.0,,1661385600.0,3:1,,,,0.978,10.406801,1663200000.0,1.05,,37.808475,,0.0248,60328890.0,0.0,,,238.13,233.935,288.96082,0.0,0.0,,234.5715,,76762070.0,238.13,286.72873,0.0,233.935,,76762070.0,,,,,,,222.02,USD,86.12742,83057136.0,,,,698983186432.0,,,74561496.0,222.02,223.8,1100.0,83057136.0,414.49667,,,206.85667,222.45,False,,1200.0,234.5715,,223.07,,https://logo.clearbit.com/tesla.com,-15.901976503593307,-21.371167526974766,-15.675207865683138,-45.58869998779952,TSLA ,,,,,,,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
4,94025,Communication Services,83553.0,"Meta Platforms, Inc. develops products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality headsets, wearables, and in-home devices worldwide. It operates in two segments, Family of Apps and Reality Labs. The Family of Apps segment's products include Facebook, which enables people to share, discover, and connect with interests; Instagram, a community for sharing photos, videos, and private messages, as well as feed, stories, reels, video, live, and shops; Messenger, a messaging application for people to connect with friends, family, groups, and businesses across platforms and devices through chat, audio and video calls, and rooms; and WhatsApp, a messaging application that is used by people and businesses to communicate and transact privately. The Reality Labs segment provides augmented and virtual reality related products comprising virtual reality hardware, software, and content that help people feel connected, anytime, and anywhere. The company was formerly known as Facebook, Inc. and changed its name to Meta Platforms, Inc. in October 2021. Meta Platforms, Inc. was incorporated in 2004 and is headquartered in Menlo Park, California.",Menlo Park,650 543 4800,CA,United States,[],https://investor.fb.com,1.0,1601 Willow Road,Internet Content & Information,0.40225,0.28163,0.80474,58466000896.0,-0.009,0.33405,48033001472.0,140.0,buy,95280000000.0,29296625664.0,214.0,133.45,-0.319,2.52,0.14648,51.0,222.78,13.262,0.25478,466.0,40489000960.0,16679000064.0,119409999872.0,15.065,USD,43.398,2.341,2.1,NMS,"Meta Platforms, Inc.","Meta Platforms, Inc.",America/New_York,EDT,False,-14400000,EQUITY,META,finmb_20765463,us_market,,2.804,,6.971,-0.58995235,,10.84,,2280669952.0,,,,46.632,29752984.0,0.0111,,1640908800.0,0.75289,33629999104.0,11.58,,-0.16544336,2.8617687,0.0054699997,1703980800.0,,1656547200.0,1.22,1660521600.0,2239829772.0,1.318717,334843346944.0,2.0,,,,,,,-0.357,3.0035467,1663200000.0,2.08,,12.310885,,0.013099999,28758877.0,0.0,,,139.07,136.76,204.5072,0.0,0.0,,138.29,,32588370.0,139.07,157.5084,0.0,136.76,,32588370.0,,,,,,,132.44,USD,11.524179,33214773.0,,,,358653526016.0,,,28227068.0,132.44,133.32,800.0,33214773.0,353.83,,,132.44,133.11,False,,900.0,138.29,,133.45,,https://logo.clearbit.com/investor.fb.com,-1.6435700530054054,-16.796559975013604,-59.46479665469057,-61.60375247852152,META ,,,,,,,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
5,95051,Technology,22473.0,"NVIDIA Corporation provides graphics, and compute and networking solutions in the United States, Taiwan, China, and internationally. The company's Graphics segment offers GeForce GPUs for gaming and PCs, the GeForce NOW game streaming service and related infrastructure, and solutions for gaming platforms; Quadro/NVIDIA RTX GPUs for enterprise workstation graphics; vGPU software for cloud-based visual and virtual computing; automotive platforms for infotainment systems; and Omniverse software for building 3D designs and virtual worlds. Its Compute & Networking segment provides Data Center platforms and systems for AI, HPC, and accelerated computing; Mellanox networking and interconnect solutions; automotive AI Cockpit, autonomous driving development agreements, and autonomous vehicle solutions; cryptocurrency mining processors; Jetson for robotics and other embedded platforms; and NVIDIA AI Enterprise and other software. The company's products are used in gaming, professional visualization, datacenter, and automotive markets. NVIDIA Corporation sells its products to original equipment manufacturers, original device manufacturers, system builders, add-in board manufacturers, retailers/distributors, independent software vendors, Internet and cloud service providers, automotive manufacturers and tier-1 automotive suppliers, mapping companies, start-ups, and other ecosystem participants. It has a strategic collaboration with Kroger Co. NVIDIA Corporation was incorporated in 1993 and is headquartered in Santa Clara, California.",Santa Clara,408 486 2000,CA,United States,[],https://www.nvidia.com,1.0,2788 San Tomas Expressway,Semiconductors,0.35914,0.26031,0.60451,7552999936.0,0.03,0.31478,10680000512.0,110.0,buy,17475000000.0,6692250112.0,200.0,120.76,-0.723,3.62,0.14248,41.0,196.75,49.629,0.34405997,320.0,17036999680.0,11836999680.0,29738000384.0,6.842,USD,11.888,2.952,2.1,NMS,NVIDIA Corporation,NVIDIA Corporation,America/New_York,EDT,False,-14400000,EQUITY,NVDA,finmb_32307,us_market,,9.937,,27.668,-0.41647738,,4.45,,2492000000.0,,,,9.583,30722890.0,0.0123000005,,1643500800.0,0.65264,7741000192.0,3.729,0.04,-0.16544336,12.601481,0.04101,1706572800.0,,1659225600.0,0.54,1660521600.0,2389578300.0,1.712969,295492386816.0,2.0,,1626739200,4:1,,1662508800,,-0.724,10.119508,1663200000.0,1.66,,27.137081,,0.0128,31324946.0,,,,131.3,125.05,200.51476,0.0012185833,0.0523,,126.69,,56958800.0,131.3,153.4904,0.16,125.05,,56958800.0,,,0.16,1662508800,,,120.22,USD,32.384018,67247816.0,,,,300933939200.0,,,56245040.0,120.22,120.2,800.0,67247816.0,346.47,,0.21,119.46,120.23,False,0.0013,800.0,126.69,,120.76,,https://logo.clearbit.com/nvidia.com,-0.518986124545362,-11.943996883708863,-42.65394692669888,-63.78930905953648,NVDA ,,,,,,,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
6,10577,Consumer Defensive,309000.0,"PepsiCo, Inc. manufactures, markets, distributes, and sells various beverages and convenient foods worldwide. The company operates through seven segments: Frito-Lay North America; Quaker Foods North America; PepsiCo Beverages North America; Latin America; Europe; Africa, Middle East and South Asia; and Asia Pacific, Australia and New Zealand and China Region. It provides dips, cheese-flavored snacks, and spreads, as well as corn, potato, and tortilla chips; cereals, rice, pasta, mixes and syrups, granola bars, grits, oatmeal, rice cakes, simply granola, and side dishes; beverage concentrates, fountain syrups, and finished goods; ready-to-drink tea, coffee, and juices; dairy products; and sparkling water makers and related products. It serves wholesale and other distributors, foodservice customers, grocery stores, drug stores, convenience stores, discount/dollar stores, mass merchandisers, membership stores, hard discounters, e-commerce retailers and authorized independent bottlers, and others through a network of direct-store-delivery, customer warehouse, and distributor networks, as well as directly to consumers through e-commerce platforms and retailers. The company was founded in 1898 and is headquartered in Purchase, New York.",Purchase,914 253 2000,NY,United States,[],https://www.pepsico.com,1.0,700 Anderson Hill Road,Beverages—Non-Alcoholic,0.18099001,0.11282,0.53335,11157000192.0,0.052,0.14975001,14816000000.0,165.0,buy,42429000000.0,5905375232.0,183.0,161.61,-0.394,0.831,0.082609996,19.0,182.08,210.34,0.54608,200.0,5692000256.0,39279001600.0,81862000640.0,4.124,USD,59.192,0.595,2.5,NMS,"Pepsico, Inc.","PepsiCo, Inc.",America/New_York,EDT,False,-14400000,EQUITY,PEP,finmb_32854,us_market,,3.136,,17.329,0.034370184,,7.17,,1380080000.0,,,,13.434,11722917.0,0.0085,,1640390400.0,0.73877996,9235999744.0,6.64,1.15,-0.16544336,12.029924,0.00151,1703462400.0,,1654905600.0,2.69,1660521600.0,1377504085.0,0.568901,256743505920.0,2.0,,833328000,2:1,,1661990400,,-0.394,2.724521,1663200000.0,3.05,,22.53975,,0.0085,8674833.0,0,,,162.8,162.3,169.5082,0.026873464,0.6589,,162.99,,4997700.0,162.8,172.3164,4.375,162.3,,4997700.0,,,4.6,1661990400,,,160.98,USD,24.338856,4779170.0,,,,223034736640.0,,,4378273.0,160.98,161.59,1000.0,4779170.0,181.07,,2.83,153.37,161.42,False,0.028499998,1000.0,162.99,,161.61,,https://logo.clearbit.com/pepsico.com,-1.0106541418603898,-6.718614366319442,6.157390938896867,-9.813696128781801,PEP ,,,,,,,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
7,98027,Consumer Defensive,304000.0,"Costco Wholesale Corporation, together with its subsidiaries, engages in the operation of membership warehouses in the United States, Puerto Rico, Canada, the United Kingdom, Mexico, Japan, Korea, Australia, Spain, France, Iceland, China, and Taiwan. It offers branded and private-label products in a range of merchandise categories. The company offers sundries, dry groceries, candies, coolers, freezers, liquor, and tobacco and deli products; appliances, electronics, health and beauty aids, hardware, garden and patio products, sporting goods, tires, toys and seasonal products, office supplies, automotive care products, postages, tickets, apparel, small appliances, furniture, domestics, housewares, special order kiosks, and jewelry; and meat, produce, service deli, and bakery products. It also operates pharmacies, optical, food courts, hearing aids, and tire installation centers, as well as 668 gas stations; and offers online business delivery, travel, same-day grocery, and various other services. As of August 28, 2022, the company operated 838 membership warehouses, including 578 in the United States and Puerto Rico, 107 in Canada, 40 in Mexico, 31 in Japan, 29 in the United Kingdom, 17 in Korea, 14 in Taiwan, 13 in Australia, 4 in Spain, 1 in Iceland, 2 in France, and 2 in China. It also operates e-commerce websites in the United States, Canada, the United Kingdom, Mexico, Korea, Taiwan, Japan, and Australia. The company was formerly known as Costco Companies, Inc. and changed its name to Costco Wholesale Corporation in August 1999. Costco Wholesale Corporation was founded in 1976 and is based in Issaquah, Washington.",Issaquah,425 313 8100,WA,United States,[],https://www.costco.com,1.0,999 Lake Drive,Discount Stores,0.04271,0.02575,0.12149,7392000000.0,0.15,0.03434,9692999680.0,455.0,buy,27572000000.0,2280875008.0,565.0,468.15,0.117,1.022,0.07892,29.0,564.86,52.821,0.30549,678.0,11048999936.0,10906000384.0,226954002432.0,24.964,USD,511.56,0.415,2.1,NMS,Costco Wholesale Corporation,Costco Wholesale Corporation,America/New_York,EDT,False,-14400000,EQUITY,COST,finmb_92817,us_market,,0.912,,21.363,0.041027308,,16.18,,442604000.0,,,,46.631,4262094.0,0.0095999995,,1661644800.0,0.68878996,5843999744.0,13.14,0.9,-0.16544336,10.039458,0.0021600001,1724803200.0,,1661644800.0,2.31,1660521600.0,441307315.0,0.721812,207067136000.0,2.0,,947808000,2:1,,1658966400,,0.119,0.9129826,1663200000.0,2.39,,28.933868,,0.0095999995,4232510.0,0,,,482.49,478.26,518.00336,0.007005327,0.2572,,479.105,,2433240.0,482.49,519.6876,3.38,478.26,,2433240.0,,,3.6,1658966400,,,466.12,USD,35.627853,2451610.0,,,,207205056512.0,,,2155056.0,466.12,467.49,900.0,2451610.0,612.27,,0.84,406.51,467.0,False,0.0077,800.0,479.105,,468.15,,https://logo.clearbit.com/costco.com,-0.8723813100620759,-11.60977627280838,4.046195218497939,-22.74960315625859,COST ,,,,,,,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
8,95131-2313,Technology,20000.0,"Broadcom Inc. designs, develops, and supplies various semiconductor devices with a focus on complex digital and mixed signal complementary metal oxide semiconductor based devices and analog III-V based products worldwide. The company operates in two segments, Semiconductor Solutions and Infrastructure Software. It provides set-top box system-on-chips (SoCs); cable, digital subscriber line, and passive optical networking central office/consumer premise equipment SoCs; wireless local area network access point SoCs; Ethernet switching and routing merchant silicon products; embedded processors and controllers; serializer/deserializer application specific integrated circuits; optical and copper, and physical layers; and fiber optic transmitter and receiver components. The company also offers RF front end modules, filters, and power amplifiers; Wi-Fi, Bluetooth, and global positioning system/global navigation satellite system SoCs; custom touch controllers; serial attached small computer system interface, and redundant array of independent disks controllers and adapters; peripheral component interconnect express switches; fiber channel host bus adapters; read channel based SoCs; custom flash controllers; preamplifiers; and optocouplers, industrial fiber optics, and motion control encoders and subsystems. Its products are used in various applications, including enterprise and data center networking, home connectivity, set-top boxes, broadband access, telecommunication equipment, smartphones and base stations, data center servers and storage systems, factory automation, power generation and alternative energy systems, and electronic displays. Broadcom Inc. was incorporated in 2018 and is headquartered in San Jose, California.",San Jose,408 433 8000,CA,United States,[],https://www.broadcom.com,1.0,1320 Ridder Park Drive,Semiconductors,0.57333,0.3196,0.75132006,15694000128.0,0.249,0.40691003,18162999296.0,540.0,buy,20288000000.0,12515749888.0,650.0,460.48,0.702,2.322,0.10946,21.0,653.17,188.944,0.44731998,775.0,9976999936.0,39495000064.0,31680000000.0,24.634,USD,77.41,1.893,1.9,NMS,Broadcom Inc.,Broadcom Inc.,America/New_York,EDT,False,-14400000,EQUITY,AVGO,finmb_25016048,us_market,,6.819,,11.895,-0.06471139,,40.64,,405008000.0,,,,51.546,6172894.0,0.0152,,1635638400.0,0.78027,9825999872.0,23.16,4.1,-0.16544336,8.93338,0.02254,1698710400.0,,1659225600.0,2.77,1660521600.0,398594333.0,1.116433,216040062976.0,2.0,,,,,1663718400,,0.639,5.8869348,1663200000.0,0.84,,11.330709,,0.0208,5472504.0,0,,,479.5,472.38,556.7408,0.034202293,0.6865,,473.34,,2449140.0,479.5,511.4082,16.4,472.38,,2449140.0,,,16.4,1663718400,,,459.02,USD,19.882557,2842546.0,,,,186498088960.0,,,2157171.0,459.02,460.48,1000.0,2842546.0,677.76,,3.03,443.64,459.61,False,0.0356,1300.0,473.34,,460.48,,https://logo.clearbit.com/broadcom.com,3.7093761082992227,-8.074909796007933,-3.9577174883159927,-30.094802121477183,AVGO ,,,,,,,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
9,19103-2838,Communication Services,189000.0,"Comcast Corporation operates as a media and technology company worldwide. It operates through Cable Communications, Media, Studios, Theme Parks, and Sky segments. The Cable Communications segment offers broadband, video, voice, wireless, and other services to residential and business customers under the Xfinity brand; and advertising services. The Media segment operates NBCUniversal's television and streaming platforms, including national, regional, and international cable networks, the NBC and Telemundo broadcast, and Peacock networks. The Studios segment operates NBCUniversal's film and television studio production and distribution operations. The Theme Parks segment operates Universal theme parks in Orlando, Florida; Hollywood, California; Osaka, Japan; and Beijing, China. The Sky segment offers direct-to-consumer services, such as video, broadband, voice and wireless phone services, and content business operates entertainment networks, the Sky News broadcast network, and Sky Sports networks. The company also owns the Philadelphia Flyers, as well as the Wells Fargo Center arena in Philadelphia, Pennsylvania; and provides streaming service, such as Peacock. Comcast Corporation was founded in 1963 and is headquartered in Philadelphia, Pennsylvania.",Philadelphia,215 286 1700,PA,United States,[],https://corporate.comcast.com,1.0,One Comcast Center,Telecom Services,0.29823,0.115380004,0.67342,27373000704.0,0.051,0.18254,36282998784.0,30.0,buy,77935000000.0,10681124864.0,45.5,29.27,-0.05,0.877,0.051030003,32.0,45.78,106.062,0.14338,70.0,6822000128.0,98713001984.0,121659998208.0,1.546,USD,26.865,0.681,2.4,NMS,Comcast Corporation,Comcast Corporation,America/New_York,EDT,False,-14400000,EQUITY,CMCSA,finmb_173341,us_market,,1.831,,6.138,-0.4394868,,3.84,,4403789824.0,,,,20.716,76567804.0,0.0173,,1640908800.0,0.85441,14037000192.0,3.07,0.27,-0.16544336,1.4129176,0.00694,1703980800.0,,1656547200.0,3.03,1660521600.0,4372636562.0,0.98305,222711480320.0,2.0,,1487635200,2:1,,1664841600,,-0.091,1.0617748,1663200000.0,0.84,,7.622396,,0.0175,71637032.0,0,,,30.05,29.88,42.7038,0.034608986,0.3388,,29.975,,30102310.0,30.05,35.3786,1.04,29.88,,30102310.0,,,1.08,1664841600,,,29.195,USD,9.534203,28850580.0,,,,129175527424.0,,,25666648.0,29.195,29.27,3100.0,28850580.0,54.88,,1.99,29.195,29.25,False,0.0369,4000.0,29.975,,29.27,,https://logo.clearbit.com/corporate.comcast.com,0.6829435099502845,-15.579450951846452,-47.65616536628347,-47.65616536628347,CMCSA ,,1701 John F. Kennedy Boulevard,,,,,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
